Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
4/22/2023,Brazil,153,2649.32
4/14/2023,Brazil,57,940.4
4/26/2023,Colombia,310,4408.22
4/25/2023,USA,90,2044.18
4/23/2023,Panama,204,16330.85
4/7/2023,USA,356,3772.26
4/11/2023,Colombia,122,2490.96
4/27/2023,Colombia,367,19933.19
4/24/2023,Panama,223,13834.04
4/16/2023,Colombia,159,3448.16
4/8/2023,Canada,258,14601.34
4/14/2023,Panama,325,11939.47
4/1/2023,Colombia,349,10844.36
4/7/2023,Panama,139,2890.93
4/14/2023,Colombia,360,22928.71
4/3/2023,Panama,69,2074.68
4/17/2023,Panama,361,16159.8
4/30/2023,Canada,26,2178.03
4/16/2023,Brazil,387,9041.12
4/4/2023,Canada,222,7975.43
4/8/2023,Brazil,23,4.18
4/6/2023,USA,398,1196.59
4/29/2023,Canada,358,2103.88
4/7/2023,USA,273,185.3
4/28/2023,Canada,144,2946.67
4/5/2023,Canada,54,1753.2
4/20/2023,USA,92,759.18
4/21/2023,Canada,370,5892.83
4/10/2023,USA,193,5210.95
4/21/2023,Colombia,281,1191.11
4/15/2023,Brazil,232,558.31
4/18/2023,USA,400,15408.94
4/19/2023,Brazil,54,2048.42
4/14/2023,Canada,84,3135.05
4/27/2023,USA,357,15133.99
4/18/2023,Colombia,209,339.15
4/3/2023,Colombia,277,987.22
4/2/2023,Canada,201,7786.81
4/26/2023,Colombia,78,1808.54
4/3/2023,Panama,219,368.6
4/5/2023,Brazil,362,33392.49
4/18/2023,Panama,182,2844.26
4/19/2023,Canada,162,9421.19
4/3/2023,Panama,94,6260.69
4/10/2023,Colombia,382,10146.06
4/19/2023,Panama,31,876.54
4/23/2023,Canada,287,2041.4
4/26/2023,Canada,396,6970.28
4/22/2023,Colombia,51,1687.16
4/20/2023,Panama,97,1352.03
4/13/2023,Colombia,100,1676.42
4/19/2023,Canada,144,233.57
4/16/2023,Brazil,103,2344.34
4/20/2023,Brazil,215,4263.55
4/14/2023,USA,397,5767.77
4/23/2023,Panama,81,241.72
4/17/2023,USA,282,8942.28
4/8/2023,Canada,175,1654.47
4/15/2023,Brazil,383,17721.26
4/25/2023,Colombia,293,8341.47
4/21/2023,USA,196,7197.15
4/2/2023,Colombia,170,3777.84
4/8/2023,Colombia,188,6044.04
4/7/2023,Brazil,194,382.57
4/16/2023,Panama,297,8693
4/19/2023,Panama,266,3881.39
4/20/2023,Brazil,113,8079.55
4/8/2023,USA,385,3226.47
4/12/2023,Brazil,322,10071.92
4/22/2023,Brazil,155,6340.51
4/16/2023,USA,175,2361.61
4/25/2023,Brazil,214,1115.34
4/3/2023,Colombia,300,25698.61
4/12/2023,Brazil,97,323.86
4/29/2023,Canada,147,4716.72
4/22/2023,Canada,367,4520.67
4/20/2023,Panama,162,2825.33
4/14/2023,Colombia,90,652.93
4/6/2023,Canada,333,6164.43
4/14/2023,Canada,182,901.07
4/27/2023,Panama,187,4409.87
4/3/2023,Brazil,333,2268.69
4/27/2023,USA,198,2982.76
4/26/2023,Colombia,202,14234.65
4/27/2023,Brazil,309,16057.6
4/22/2023,Colombia,52,678.29
4/26/2023,Colombia,376,6798.56
4/25/2023,Panama,135,2893.31
4/2/2023,Colombia,164,2307.79
4/17/2023,Brazil,276,10102.86
4/11/2023,Brazil,384,10743.43
4/15/2023,USA,376,30510.21
4/11/2023,USA,273,1171.36
4/13/2023,Brazil,355,8525.25
4/10/2023,Colombia,125,348.8
4/11/2023,Panama,142,7695.55
4/5/2023,USA,68,2099.37
4/7/2023,Canada,236,2053.81
4/11/2023,Panama,159,4602.76
4/16/2023,Colombia,288,284.95
4/20/2023,Canada,397,29128.14
4/16/2023,Brazil,334,9901.8
