Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
8/22/2023,USA,138,7768.96
8/9/2023,Brazil,384,30475.81
8/8/2023,Brazil,35,1828.28
8/20/2023,Panama,55,742.98
8/10/2023,Brazil,38,826.62
8/11/2023,Panama,389,21447.03
8/31/2023,Colombia,209,2889.63
8/22/2023,Colombia,109,3265.46
8/22/2023,Colombia,56,1367.48
8/3/2023,Colombia,274,3240.6
8/3/2023,Brazil,139,5630.4
8/1/2023,Brazil,170,1008.93
8/24/2023,Brazil,283,17447.25
8/5/2023,Canada,188,3153.57
8/21/2023,Canada,213,4344.06
8/29/2023,Canada,236,85.99
8/29/2023,Canada,156,7660.22
8/28/2023,Canada,151,7766.89
8/3/2023,USA,151,2112.86
8/16/2023,Panama,136,11211.37
8/27/2023,Canada,141,5962.74
8/4/2023,Brazil,283,17691.05
8/28/2023,Colombia,49,821.72
8/3/2023,Panama,112,3096.51
8/1/2023,Colombia,298,22654.07
8/21/2023,USA,278,307.28
8/9/2023,Panama,47,1151.69
8/6/2023,Panama,188,7093.89
8/23/2023,USA,159,3395.38
8/1/2023,Canada,45,166.91
8/12/2023,USA,256,2609.58
8/8/2023,Canada,49,2439.45
8/23/2023,Brazil,203,2569.84
8/1/2023,USA,105,4877.01
8/9/2023,USA,393,3560.77
8/28/2023,Canada,334,7181.71
8/29/2023,Brazil,169,2458.13
8/16/2023,Canada,275,7620.16
8/5/2023,Canada,357,87.35
8/16/2023,USA,177,8011.59
8/3/2023,USA,326,20704.25
8/26/2023,Brazil,191,10698.58
8/17/2023,Panama,270,3462.37
8/10/2023,Canada,54,807.28
8/26/2023,Canada,363,4261.97
8/19/2023,Canada,183,8096.51
8/1/2023,Panama,262,7866.59
8/22/2023,Canada,122,1110.77
8/3/2023,USA,168,2192.44
8/6/2023,Colombia,275,8456.1
8/15/2023,Brazil,264,20127.35
8/30/2023,Colombia,216,10989.83
8/29/2023,USA,129,1743.36
8/20/2023,Colombia,233,3724.4
8/5/2023,Panama,323,4782.99
8/25/2023,Colombia,154,5369.53
8/2/2023,Panama,156,1681.56
8/30/2023,Brazil,148,14361.44
8/2/2023,Colombia,226,11751.81
8/13/2023,Colombia,205,16634.46
8/30/2023,Panama,244,7672.13
8/6/2023,Brazil,169,2051.09
8/3/2023,USA,167,9783.12
8/25/2023,Brazil,226,3776.41
8/31/2023,Brazil,188,471.82
8/13/2023,Panama,80,1345.69
8/3/2023,Colombia,68,417.33
8/15/2023,Brazil,64,1410.63
8/31/2023,Canada,334,7566.06
8/26/2023,USA,36,1813.05
8/15/2023,Brazil,305,13959.94
8/23/2023,Panama,167,4376.74
8/13/2023,Colombia,396,28543.8
8/3/2023,Colombia,258,7389.38
8/4/2023,Panama,344,5950.83
8/13/2023,Canada,206,2875.27
8/5/2023,Colombia,45,1287.2
8/10/2023,Colombia,111,2982.37
8/7/2023,Brazil,366,6196.72
8/8/2023,Brazil,12,256.1
8/8/2023,Brazil,225,4507.67
8/24/2023,Brazil,221,6828.01
8/11/2023,Canada,134,5136.85
8/8/2023,Brazil,373,4701.25
8/25/2023,Brazil,86,1774.83
8/24/2023,Canada,206,1986.87
8/1/2023,Canada,354,24852.55
8/23/2023,Colombia,268,2007.87
8/26/2023,Panama,96,3538.18
8/2/2023,Brazil,148,1242.29
8/20/2023,Canada,287,239.37
8/11/2023,Colombia,60,4608.72
8/28/2023,Brazil,237,5010.85
8/10/2023,Canada,81,1166.87
8/13/2023,Brazil,289,13562.03
8/9/2023,Panama,344,7280.06
8/23/2023,Colombia,392,23583.16
8/21/2023,Colombia,152,1270.37
8/25/2023,Colombia,67,389.09
8/1/2023,Panama,18,401.48
8/31/2023,Colombia,198,5103.05
8/21/2023,Brazil,301,11359.82
8/5/2023,USA,146,5000.57
8/22/2023,USA,53,585.57
8/30/2023,Canada,235,2641.69
8/20/2023,Canada,95,6679.6
8/1/2023,Colombia,383,4815.4
8/10/2023,Colombia,320,15293.75
8/17/2023,Brazil,173,4204.31
8/29/2023,USA,257,17092.06
8/21/2023,Panama,118,4603.28
8/7/2023,Panama,144,3685.77
8/19/2023,Colombia,196,311.68
8/4/2023,USA,282,3770.43
8/1/2023,Panama,92,203.63
8/27/2023,Colombia,230,12535.12
8/2/2023,Brazil,53,126.58
8/20/2023,Brazil,188,12074.69
8/12/2023,Panama,27,795.16
8/8/2023,Colombia,124,7465.01
8/24/2023,USA,193,7543.41
8/27/2023,Brazil,147,5842.25
8/9/2023,Canada,105,9767.25
8/7/2023,USA,33,152.96
8/4/2023,Colombia,228,15902.83
8/27/2023,Canada,75,56.02
8/4/2023,Canada,372,7661.23
8/10/2023,Canada,393,26843.24
8/13/2023,Brazil,231,21511.18
8/28/2023,Panama,96,199.59
8/12/2023,Brazil,287,7290.39
8/4/2023,Panama,60,578.85
8/10/2023,Panama,393,9143.88
8/29/2023,Colombia,246,7142.98
8/4/2023,Brazil,105,2645.27
8/11/2023,USA,379,1194.91
8/18/2023,USA,176,1717.7
8/9/2023,Brazil,250,8055.15
8/11/2023,Brazil,243,2326.76
8/25/2023,Canada,311,6475.03
8/8/2023,Panama,45,524.45
8/9/2023,Canada,46,1014.23
8/4/2023,Panama,19,169.55
8/23/2023,Brazil,337,11291.29
8/2/2023,Canada,71,1047.29
8/6/2023,Canada,117,135.23
8/12/2023,Canada,103,446.96
8/17/2023,USA,388,7640.1
8/9/2023,Brazil,105,2757.43
8/19/2023,USA,282,20309.61
8/11/2023,Colombia,340,3073.12
8/21/2023,Brazil,330,1305.66
8/13/2023,Canada,289,2804.84
8/17/2023,Brazil,287,643.74
8/5/2023,Canada,195,4113.57
8/6/2023,Canada,57,116.75
8/17/2023,Colombia,206,4995.64
8/23/2023,USA,214,7859
8/11/2023,Brazil,195,16015.34
8/31/2023,Brazil,75,1971
8/22/2023,USA,56,3604.78
8/13/2023,Colombia,241,1405.33
8/3/2023,Canada,282,25348.75
8/3/2023,Brazil,353,5935.88
8/27/2023,USA,239,12490.61
8/18/2023,Panama,146,3646.68
8/14/2023,Canada,192,17818.4
8/21/2023,Colombia,362,7809.46
8/10/2023,Panama,268,4867.03
8/27/2023,Brazil,310,4046.85
8/3/2023,USA,385,4424.42
8/6/2023,Canada,314,1075.69
8/2/2023,Panama,306,3202.11
8/16/2023,Canada,394,11231.74
8/21/2023,Brazil,354,7839.14
8/14/2023,USA,389,23877.75
8/22/2023,Canada,129,9315.37
8/4/2023,Panama,147,3475.11
8/17/2023,Panama,158,3686.9
8/16/2023,Panama,367,8120.87
8/4/2023,Panama,242,14943.45
8/16/2023,Colombia,394,14509.83
8/6/2023,USA,92,8240.35
8/18/2023,Colombia,48,584.24
8/3/2023,Panama,99,710.09
8/5/2023,Colombia,191,4050.35
8/27/2023,Brazil,172,2585.27
8/15/2023,USA,295,5845.4
8/30/2023,Brazil,119,235.63
