Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
12/24/2023,Colombia,388,17034.65
12/18/2023,USA,233,3995.81
12/5/2023,USA,333,11971.62
12/22/2023,Brazil,203,12116.46
12/12/2023,Canada,263,7461.85
12/1/2023,Brazil,389,17397.13
12/24/2023,USA,224,8270.56
12/7/2023,Brazil,256,17731.93
12/9/2023,Panama,67,2104.79
12/29/2023,Panama,302,1826.79
12/15/2023,Canada,340,9133.2
12/27/2023,Canada,174,2344.49
12/2/2023,Brazil,45,1896.32
12/25/2023,USA,178,7981.01
12/13/2023,Colombia,395,13655
12/24/2023,Canada,153,2590.43
12/15/2023,USA,355,20488.35
12/23/2023,USA,295,4676.57
12/31/2023,Brazil,101,2181.67
12/27/2023,USA,128,3595.66
12/26/2023,Canada,164,607.62
12/18/2023,Colombia,165,1108.62
12/10/2023,Colombia,289,10535.47
12/31/2023,Panama,365,4108.96
12/24/2023,Brazil,247,1625.02
12/8/2023,USA,311,12389.4
12/16/2023,Brazil,34,1609.84
12/13/2023,Colombia,210,3206.17
12/30/2023,Panama,38,518.99
12/9/2023,Panama,165,3679.45
12/14/2023,Brazil,19,1260.8
12/5/2023,Panama,385,3794.56
12/27/2023,Panama,289,6229.04
12/5/2023,Colombia,345,2428.69
12/9/2023,Brazil,112,1020.3
12/13/2023,Brazil,35,747
12/30/2023,USA,168,1463.63
12/11/2023,Canada,252,4474.44
12/29/2023,Brazil,86,997.07
12/18/2023,Canada,392,3507.19
12/15/2023,Brazil,55,1065.61
12/25/2023,USA,107,1517.12
12/29/2023,Brazil,292,6808.26
12/29/2023,Canada,15,398.57
12/7/2023,Brazil,11,319.03
12/22/2023,Brazil,68,2718.93
12/25/2023,Panama,374,20576.52
12/13/2023,Panama,331,2148.53
12/11/2023,USA,60,2530.62
12/15/2023,Brazil,200,4966.46
12/6/2023,Canada,226,246.63
12/4/2023,Brazil,61,3174.04
12/6/2023,USA,144,6743.42
12/18/2023,Brazil,50,3578.04
12/5/2023,USA,110,5701.05
12/22/2023,Panama,251,22942.62
12/1/2023,Brazil,47,234.53
12/25/2023,Colombia,185,7612.41
12/3/2023,Colombia,190,4695.44
12/11/2023,Colombia,36,1184.65
12/26/2023,Canada,246,12871.89
12/24/2023,Colombia,272,2545.35
