Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2/24/2023,USA,366,28641.21
2/14/2023,Panama,128,4223.28
2/26/2023,Canada,110,1101.63
2/13/2023,Panama,166,10996.77
2/20/2023,Colombia,91,104.93
2/20/2023,USA,79,415.15
2/12/2023,Panama,120,2573.1
2/6/2023,Panama,255,3503.12
2/24/2023,Panama,296,25186.77
2/26/2023,Canada,21,130.46
2/9/2023,Panama,37,76.3
2/28/2023,USA,289,7745.06
2/10/2023,Colombia,51,1228.12
2/8/2023,Canada,237,6002.88
2/23/2023,Canada,208,4504.38
2/20/2023,Panama,80,735.83
2/2/2023,Brazil,381,6692.52
2/28/2023,USA,254,6054.71
2/10/2023,Colombia,29,2248.79
2/14/2023,Panama,326,13575.81
2/17/2023,Panama,226,1642.04
2/10/2023,Colombia,88,2415
2/18/2023,Panama,390,20638.97
2/7/2023,Brazil,103,6308.1
2/6/2023,USA,241,10425.34
2/28/2023,USA,65,2276.11
2/23/2023,Brazil,135,4131.3
2/13/2023,Brazil,95,34.18
2/10/2023,USA,239,3979.87
2/20/2023,Panama,76,1556.8
2/1/2023,Canada,142,3115.47
2/19/2023,Colombia,195,2883.18
2/18/2023,USA,204,558.77
2/8/2023,Colombia,329,501.65
2/16/2023,Canada,351,621.69
2/27/2023,USA,149,3777.24
2/22/2023,Panama,146,3572.29
2/16/2023,Colombia,341,11890.35
2/25/2023,Colombia,241,9586.53
2/10/2023,Panama,191,571.71
2/9/2023,Canada,212,9476.49
2/9/2023,USA,189,1463.32
2/1/2023,Canada,335,9670.45
2/3/2023,USA,101,6986.96
2/13/2023,USA,73,5744.83
2/2/2023,Colombia,109,3319.6
2/2/2023,USA,354,17818.46
2/24/2023,Panama,310,9745.73
2/16/2023,Canada,251,1715.1
2/3/2023,Brazil,156,8284.57
2/28/2023,USA,330,2995.66
2/14/2023,Brazil,286,14348.36
2/10/2023,Brazil,244,14009.41
2/16/2023,Canada,155,9087
2/2/2023,Brazil,220,11244.83
2/26/2023,Canada,161,634.36
2/12/2023,Panama,223,1128.37
2/4/2023,Canada,344,23895.26
2/27/2023,Colombia,256,966.5
2/24/2023,Canada,303,2188.2
2/4/2023,Panama,285,15974.88
2/6/2023,Canada,356,3704.39
2/19/2023,Colombia,102,2001.47
2/6/2023,Colombia,14,170.09
2/21/2023,Brazil,199,3886.54
2/19/2023,Panama,102,5364.75
2/4/2023,Colombia,157,5714.99
2/1/2023,Canada,312,19022.89
2/15/2023,USA,58,3607.99
2/15/2023,Colombia,202,4961.57
2/12/2023,USA,19,228
2/19/2023,Canada,264,7155.58
2/27/2023,Brazil,148,1186.29
2/21/2023,USA,291,12619.76
2/27/2023,Canada,25,1192.88
2/6/2023,Panama,90,3560.32
2/25/2023,USA,174,2246.09
2/9/2023,USA,106,155.37
2/21/2023,Canada,197,4094.2
2/18/2023,Canada,397,12304.8
2/1/2023,USA,387,23525.5
2/4/2023,USA,185,2154.83
2/9/2023,USA,174,2211.27
2/26/2023,Brazil,89,7604.88
2/17/2023,Brazil,68,2549
2/3/2023,Canada,262,15994.59
2/25/2023,Colombia,318,10341.67
2/19/2023,Colombia,352,27964.31
2/5/2023,Canada,121,137.47
2/3/2023,Canada,163,6352.3
2/23/2023,Panama,252,17906.41
2/9/2023,Panama,96,3702.87
2/10/2023,Canada,284,7853.2
2/20/2023,Colombia,294,1980.62
2/24/2023,Brazil,61,1880.19
2/1/2023,Colombia,69,464.13
2/19/2023,USA,79,233.63
2/25/2023,Brazil,243,12222.34
2/26/2023,Colombia,128,6398.35
2/23/2023,Panama,311,14062.98
2/3/2023,USA,101,1316.65
2/21/2023,Canada,326,18178.41
2/27/2023,USA,216,7946.66
2/28/2023,Panama,201,3790.89
2/24/2023,Brazil,330,16055.65
2/26/2023,USA,335,12759.86
2/1/2023,Colombia,120,814.62
2/4/2023,USA,334,9261.17
2/28/2023,USA,267,17016.79
2/27/2023,Colombia,384,11648.84
2/3/2023,Panama,311,1604.79
2/18/2023,Colombia,377,3180.72
2/6/2023,Colombia,380,5238.84
2/17/2023,Colombia,358,815.68
2/14/2023,USA,254,6775.15
2/21/2023,Colombia,226,873.06
2/7/2023,Canada,334,27931
2/4/2023,Panama,151,4442.26
2/21/2023,Brazil,195,14949.97
2/2/2023,Colombia,400,23124.77
2/20/2023,Brazil,68,137.58
2/21/2023,Canada,282,2411.17
2/11/2023,Colombia,217,3421.6
2/19/2023,Colombia,227,17128.49
2/19/2023,Canada,261,9081.02
2/18/2023,Canada,162,8724.32
2/27/2023,Panama,395,14866.86
2/7/2023,Canada,141,5028.69
2/4/2023,USA,100,82.47
2/28/2023,Panama,177,4470.38
2/21/2023,Brazil,192,1826.56
2/5/2023,Brazil,53,2462.28
2/22/2023,Canada,392,21196.38
2/13/2023,Colombia,299,8311.03
2/24/2023,Canada,127,473.9
2/18/2023,Panama,133,4424.23
2/21/2023,Colombia,152,2065.5
2/19/2023,Brazil,50,2091.45
2/9/2023,Panama,150,4189.22
2/24/2023,Canada,162,2682.97
2/17/2023,Panama,308,4509.6
2/21/2023,Panama,343,27395.6
2/14/2023,USA,50,2310.8
2/25/2023,USA,388,4697.71
2/25/2023,Brazil,91,5804.67
2/15/2023,USA,94,6793.01
2/14/2023,Colombia,280,23139.25
2/8/2023,Canada,158,8000.1
2/2/2023,Brazil,100,1004.13
2/14/2023,Brazil,229,8799.96
2/5/2023,Brazil,376,1920.56
2/10/2023,USA,277,10380.93
2/23/2023,Canada,181,1854.41
2/8/2023,Canada,157,1168.43
2/7/2023,USA,382,19184.84
2/18/2023,Panama,283,4773.69
2/15/2023,Brazil,387,24273.53
2/23/2023,Brazil,104,6662.46
2/5/2023,Panama,45,2568.76
2/27/2023,Brazil,200,3488.52
2/24/2023,Panama,213,6483.68
2/10/2023,USA,191,1717.22
2/26/2023,USA,322,1094.67
2/12/2023,Panama,131,3794.14
2/8/2023,Panama,396,17393.18
2/8/2023,USA,319,13459.81
2/5/2023,Colombia,278,5969.41
2/17/2023,Canada,219,3588.77
2/20/2023,Brazil,276,1325.86
2/23/2023,Colombia,87,1711.02
2/5/2023,USA,227,8358.51
2/7/2023,Colombia,280,8533.07
2/10/2023,USA,61,2354.17
2/13/2023,Canada,347,2336.28
2/20/2023,Canada,187,5010.4
2/12/2023,Canada,184,5074.15
2/28/2023,Panama,42,1987.57
2/24/2023,Colombia,78,274.08
2/14/2023,Colombia,205,2952.64
2/19/2023,Canada,206,8533.23
2/26/2023,Brazil,61,4083.97
2/6/2023,Panama,79,4123.58
2/22/2023,Panama,399,3014.73
2/27/2023,Colombia,209,5807.59
2/16/2023,USA,219,5033.82
2/28/2023,Brazil,366,18333.24
2/9/2023,Colombia,382,457.43
2/8/2023,Brazil,169,2525.66
2/17/2023,Colombia,109,3073.33
2/23/2023,Colombia,289,17233.79
2/24/2023,USA,31,1362.43
2/4/2023,Colombia,132,6742.39
2/3/2023,Canada,147,2203.17
2/12/2023,Colombia,123,2264.07
2/17/2023,Brazil,151,2781.58
2/13/2023,USA,76,2006.63
2/16/2023,USA,62,556.41
2/6/2023,USA,327,12378.14
2/27/2023,Brazil,182,1508.49
2/1/2023,Brazil,390,3786.11
2/24/2023,Colombia,262,12137.51
2/12/2023,USA,172,2488.69
2/22/2023,USA,61,3149.23
2/17/2023,Colombia,279,6276.42
2/17/2023,Panama,263,2076.14
2/16/2023,USA,50,3748.98
2/15/2023,Panama,217,7374.1
2/9/2023,Colombia,182,5305.64
2/22/2023,Canada,45,1584.27
2/18/2023,Panama,387,13694.08
2/2/2023,Colombia,170,3609.17
2/16/2023,Colombia,93,3230.27
2/20/2023,Panama,115,1572.8
2/28/2023,Canada,243,20965.83
2/2/2023,Colombia,16,132.29
2/15/2023,Colombia,114,3767.13
2/12/2023,Brazil,268,3750.49
