Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
1/8/2023,USA,343,15461.36
1/4/2023,Panama,93,4681.26
1/7/2023,Panama,42,2220.36
1/16/2023,Brazil,103,1853.78
1/17/2023,USA,28,286.3
1/24/2023,Canada,372,24826.98
1/26/2023,Canada,61,1592.42
1/28/2023,Canada,264,3228.11
1/13/2023,Canada,27,257.97
1/28/2023,Brazil,323,3024.25
1/27/2023,Canada,187,4046.31
1/25/2023,USA,56,1650.34
1/15/2023,Colombia,201,2995.88
1/19/2023,Colombia,142,2383.66
1/4/2023,Brazil,271,1726.7
1/19/2023,Panama,288,4532.62
1/15/2023,Colombia,392,16229.64
1/30/2023,Colombia,60,1250.79
1/20/2023,USA,296,391.86
1/3/2023,Brazil,377,30840.25
1/11/2023,Colombia,175,7841.01
1/5/2023,USA,279,12881.19
1/23/2023,USA,165,8996.57
1/7/2023,Canada,306,4131.21
1/27/2023,Canada,141,9419.58
1/24/2023,Panama,214,998.75
1/27/2023,USA,264,23353.44
1/13/2023,Brazil,274,1783.08
1/5/2023,Canada,289,5758.91
1/17/2023,USA,298,14543.85
1/11/2023,Colombia,239,3794.66
1/12/2023,Colombia,175,5058.76
1/6/2023,USA,47,1234.82
1/8/2023,Canada,220,13798.08
1/15/2023,USA,36,1181.46
1/20/2023,Canada,210,10027.93
1/5/2023,Panama,15,159.28
1/27/2023,Canada,389,10312.46
1/23/2023,Brazil,85,917.27
1/25/2023,Canada,371,20234.08
1/21/2023,USA,291,9371.43
1/11/2023,Panama,208,6117.4
1/25/2023,Canada,15,311.34
1/8/2023,USA,322,15965.02
1/8/2023,Canada,73,745.44
1/13/2023,Colombia,392,6784.39
1/23/2023,Colombia,300,9966.59
1/23/2023,Colombia,364,20913.82
1/30/2023,Canada,336,4044.39
1/11/2023,Canada,259,8694.91
1/18/2023,Canada,359,21394.85
1/1/2023,Brazil,86,1264.87
1/17/2023,Canada,47,947.45
1/20/2023,Panama,137,5174.79
1/1/2023,Panama,293,73.34
1/15/2023,USA,54,526.36
1/13/2023,USA,54,1041.76
1/29/2023,Panama,147,9196.82
1/23/2023,Colombia,339,4722.76
1/4/2023,USA,309,6694.46
1/3/2023,Panama,123,2443.94
1/25/2023,Panama,30,751.31
1/25/2023,Colombia,168,2141.01
1/3/2023,Colombia,86,1794.55
1/6/2023,USA,132,701.62
1/30/2023,USA,309,21044.26
1/1/2023,Canada,307,16448.55
1/1/2023,USA,295,10000.97
1/7/2023,Panama,148,10357.14
1/25/2023,Panama,334,7348.69
1/11/2023,Colombia,313,11018.25
1/26/2023,USA,275,4108.86
1/11/2023,USA,138,7199.14
1/19/2023,Brazil,252,3449.39
1/28/2023,USA,398,16280.66
1/24/2023,Brazil,364,13878.72
1/27/2023,Panama,253,21535.82
1/17/2023,Panama,347,12848.19
1/13/2023,Panama,283,24813.1
1/25/2023,Panama,344,709.36
1/4/2023,Canada,356,28390.3
1/22/2023,Brazil,43,2723.93
1/26/2023,USA,112,1542.4
1/11/2023,Colombia,284,411.26
1/23/2023,Brazil,96,1550.77
1/28/2023,Colombia,140,578.52
1/1/2023,Panama,70,555.16
1/10/2023,USA,374,2962.34
1/2/2023,Panama,325,20844.67
1/17/2023,Colombia,91,436.9
1/12/2023,Brazil,50,663.97
1/6/2023,Brazil,33,670.7
1/19/2023,USA,311,8899.8
1/28/2023,Brazil,22,1267.74
1/31/2023,Panama,196,1134.15
1/6/2023,Brazil,240,6998.14
1/25/2023,Brazil,51,1512.18
1/6/2023,Panama,226,2376.11
1/19/2023,Panama,113,554.27
1/5/2023,Brazil,217,10063.03
1/9/2023,Canada,207,14860
1/16/2023,Colombia,194,2414.9
1/27/2023,Brazil,199,7349.02
1/11/2023,Panama,190,7837.78
1/2/2023,Panama,332,2210.58
1/6/2023,Brazil,55,619.87
1/5/2023,Brazil,383,11854.56
1/12/2023,Brazil,258,12418.27
1/31/2023,USA,192,2221.15
1/4/2023,Colombia,251,16268.15
1/6/2023,Colombia,236,8619.95
1/31/2023,USA,196,4975.01
1/10/2023,Panama,56,830.9
1/3/2023,Brazil,120,680.82
1/24/2023,Canada,158,6457.92
1/18/2023,Brazil,399,18504.17
1/7/2023,Canada,18,666.47
1/13/2023,Brazil,73,1565.69
1/4/2023,Canada,15,309.81
1/31/2023,Colombia,150,8611.82
1/12/2023,Colombia,274,23957.53
1/8/2023,USA,396,5744.25
1/21/2023,USA,110,1340.29
1/3/2023,Colombia,10,729.39
1/1/2023,Colombia,252,2309.61
1/25/2023,Canada,351,34287.19
1/16/2023,Brazil,39,1969.46
1/4/2023,USA,330,10523.01
1/1/2023,Panama,310,5679.56
1/9/2023,USA,94,2218.79
1/18/2023,USA,55,4124.25
1/21/2023,Colombia,397,26631.22
1/24/2023,Panama,146,10130
1/10/2023,Brazil,218,8645.21
1/28/2023,Canada,338,5728.72
1/3/2023,Panama,83,2182.24
1/6/2023,Colombia,56,535.82
1/22/2023,Colombia,399,13430.62
1/4/2023,Colombia,350,6070.06
1/9/2023,Colombia,321,4052.41
1/22/2023,Brazil,243,8414.59
1/30/2023,Brazil,124,3730.43
1/5/2023,Brazil,343,18184.36
1/23/2023,Brazil,244,142.9
1/5/2023,Colombia,322,12890.28
1/16/2023,Canada,322,6263.05
1/14/2023,Canada,367,31226.52
1/21/2023,Brazil,73,489.07
1/12/2023,Colombia,176,12122.46
1/9/2023,Panama,237,11190.45
1/9/2023,Panama,327,674.73
1/19/2023,Canada,309,11628.73
1/23/2023,Panama,212,8763.35
1/14/2023,Brazil,89,2876.46
1/2/2023,Brazil,128,485.63
1/21/2023,Canada,118,2281.7
1/3/2023,USA,297,9544.35
1/13/2023,Colombia,395,9533.13
1/18/2023,Brazil,186,123.47
1/22/2023,Canada,239,755.94
1/17/2023,Brazil,300,15400.77
1/28/2023,Canada,371,5661.27
1/3/2023,Colombia,45,2346.82
1/5/2023,Colombia,392,19255.96
1/29/2023,Brazil,38,1732.86
1/20/2023,Brazil,28,304.11
1/22/2023,Panama,387,10165.37
1/4/2023,Colombia,117,4686.5
1/15/2023,Brazil,334,5471.35
1/18/2023,Brazil,345,5889.58
1/21/2023,Panama,195,4035.79
1/13/2023,Canada,241,9846.49
1/12/2023,Colombia,17,217.73
1/14/2023,Colombia,328,10576.82
1/6/2023,USA,127,1684.76
1/12/2023,Panama,52,374.11
1/20/2023,Colombia,10,457.62
1/27/2023,Canada,340,13684.36
1/19/2023,Brazil,318,11343.74
1/26/2023,Colombia,82,2997.26
1/22/2023,Brazil,347,2855.54
1/17/2023,Brazil,300,14911.08
1/23/2023,Panama,139,49.69
1/3/2023,Canada,263,10726.25
1/25/2023,USA,337,4352.75
1/20/2023,Colombia,197,3256.95
1/14/2023,Brazil,214,12188.36
1/12/2023,Colombia,102,6566.51
1/26/2023,Panama,77,5103.71
