Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
7/11/2023,Colombia,85,1249.24
7/22/2023,Brazil,38,1578.21
7/15/2023,Brazil,104,7404.42
7/9/2023,USA,369,3558.95
7/2/2023,Panama,392,6964.87
7/10/2023,Brazil,34,620.52
7/2/2023,USA,70,5529.05
7/21/2023,Colombia,277,9512.6
7/25/2023,USA,149,970.29
7/15/2023,USA,31,1370.41
7/5/2023,Colombia,286,20508.63
7/25/2023,Panama,399,33310.56
7/29/2023,USA,23,273.29
7/23/2023,Colombia,13,122.31
7/21/2023,Brazil,287,15100.28
7/26/2023,Panama,244,2434.92
7/22/2023,USA,199,5647.96
7/12/2023,Canada,93,2921.36
7/2/2023,USA,30,580.73
7/11/2023,Canada,348,1943.79
7/2/2023,Panama,250,14909.82
7/27/2023,Brazil,351,15464.61
7/16/2023,USA,144,1643.67
7/17/2023,USA,162,1244.73
7/24/2023,Colombia,306,15948.6
7/16/2023,Colombia,100,5909.86
7/4/2023,USA,89,3054.23
7/15/2023,USA,235,4537.14
7/4/2023,USA,31,2014.48
7/16/2023,Panama,291,14755.95
7/2/2023,Colombia,356,14333.24
7/18/2023,Colombia,170,2146.26
7/8/2023,Panama,314,18470.8
7/19/2023,Brazil,151,4794.4
7/2/2023,Canada,324,650.35
7/12/2023,Brazil,295,325.88
7/22/2023,USA,178,1034.6
7/24/2023,Brazil,364,2198.84
7/8/2023,Brazil,67,2841.53
7/18/2023,Colombia,308,18146.31
7/17/2023,Colombia,155,4224.89
7/25/2023,USA,316,4083.49
7/16/2023,USA,110,137.51
7/26/2023,Colombia,163,3299.42
7/24/2023,Panama,141,413.7
7/23/2023,Colombia,252,394.21
7/24/2023,Canada,117,6450.46
7/26/2023,Brazil,247,14797.67
7/5/2023,Brazil,310,7739.62
7/7/2023,Colombia,223,10534.54
7/13/2023,Panama,127,5417.48
7/12/2023,Colombia,189,5403.04
7/17/2023,Brazil,45,405.75
7/30/2023,Brazil,203,465.1
7/4/2023,USA,198,2405.66
7/26/2023,Canada,320,10015.67
7/10/2023,Brazil,234,8523.92
7/19/2023,Panama,121,4377.25
7/20/2023,Panama,53,2091.85
7/29/2023,Panama,158,4000.76
7/21/2023,Colombia,152,5925.99
7/17/2023,Brazil,109,4775.39
7/29/2023,Colombia,330,4006.45
7/5/2023,USA,33,1679.53
7/1/2023,Brazil,322,12683.58
7/23/2023,Brazil,329,16414.88
7/22/2023,Colombia,392,11228.48
7/28/2023,Brazil,176,11254.48
7/23/2023,USA,353,19900.03
7/30/2023,Colombia,142,306.54
7/9/2023,Canada,385,30194.6
7/14/2023,Colombia,286,11940.68
7/28/2023,Panama,147,5193.85
7/13/2023,USA,334,8867.78
7/26/2023,Colombia,256,22722.23
7/11/2023,USA,151,2671.97
7/26/2023,Canada,242,9809.61
7/21/2023,Canada,62,2295.4
7/17/2023,Brazil,184,1875.85
7/21/2023,Brazil,141,4955.21
7/12/2023,Canada,59,123.88
7/3/2023,USA,200,11386.75
7/14/2023,Panama,77,4324.07
7/6/2023,USA,172,8176.82
7/18/2023,Brazil,282,24450.37
7/12/2023,Brazil,352,3070.23
7/19/2023,Brazil,287,4379.15
7/25/2023,Brazil,298,1664.21
7/5/2023,Panama,327,5347.36
7/8/2023,Panama,114,893.26
7/17/2023,Colombia,163,9254.97
7/4/2023,Colombia,111,414.18
7/25/2023,Panama,36,184.47
7/7/2023,Panama,169,1875.58
7/7/2023,Canada,20,139.61
7/31/2023,Colombia,84,4071.38
7/13/2023,Brazil,344,2453.99
7/31/2023,Canada,155,5273.28
7/24/2023,Brazil,124,595.2
7/11/2023,Canada,322,11785.86
7/28/2023,USA,179,5653.14
7/15/2023,Colombia,54,1343.64
7/3/2023,Brazil,196,1691.88
7/22/2023,Canada,216,3385.57
7/24/2023,Panama,102,1696.23
7/16/2023,USA,13,260.58
7/17/2023,Colombia,146,3640.82
7/8/2023,Brazil,228,404.45
7/23/2023,Canada,140,904.32
