Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
6/27/2023,Panama,166,5232.61
6/3/2023,USA,20,515.06
6/10/2023,Canada,57,1064.02
6/16/2023,Colombia,274,10162.06
6/24/2023,USA,222,8655.87
6/6/2023,Colombia,309,3199.38
6/24/2023,USA,392,9762.32
6/15/2023,Panama,219,2921.72
6/1/2023,Brazil,18,1062.14
6/6/2023,Brazil,252,2346.4
6/22/2023,Panama,50,1819.61
6/10/2023,Colombia,266,6764
6/20/2023,Canada,338,29524.36
6/18/2023,Colombia,363,5934.79
6/23/2023,Canada,220,9853.6
6/28/2023,USA,205,9438.31
6/22/2023,Panama,399,31062.96
6/24/2023,Panama,307,8157.7
6/22/2023,USA,286,4204.5
6/6/2023,Colombia,104,994.46
6/18/2023,Canada,169,7786.21
6/21/2023,USA,89,1137.09
6/23/2023,Colombia,282,5396.41
6/12/2023,Colombia,375,26516.61
6/15/2023,Canada,241,11127.29
6/1/2023,Panama,56,463.29
6/8/2023,Canada,97,3914.28
6/9/2023,USA,333,20292.83
6/1/2023,Brazil,210,2054.54
6/10/2023,USA,360,18471.77
6/4/2023,USA,380,13426.39
6/16/2023,Panama,245,14130.74
6/7/2023,Colombia,360,20940.55
6/5/2023,Colombia,139,369.52
6/21/2023,Colombia,307,1597.02
6/14/2023,Panama,332,15588.16
6/18/2023,Colombia,60,1361.69
6/6/2023,Brazil,227,755.3
6/1/2023,USA,295,2144.82
6/3/2023,Brazil,339,16306.8
6/27/2023,Canada,389,24034.13
6/14/2023,Canada,348,12031.93
6/26/2023,Panama,146,3128.78
6/12/2023,USA,51,3035.09
6/7/2023,Canada,52,2772.45
6/29/2023,Colombia,243,15491.07
6/23/2023,Canada,109,3449.18
6/25/2023,Colombia,52,38.19
6/19/2023,Colombia,182,13851.34
6/30/2023,Colombia,248,21026.89
6/30/2023,Colombia,16,180.32
6/15/2023,Canada,208,2340.96
6/26/2023,Panama,221,1618.99
6/27/2023,USA,207,15364.17
6/14/2023,Canada,69,734.97
6/6/2023,Canada,382,24783.45
6/3/2023,Canada,241,13455
6/15/2023,Brazil,96,2482.84
6/10/2023,Colombia,33,1095.42
6/15/2023,USA,340,6984.53
6/2/2023,Brazil,66,1849.41
6/11/2023,Panama,55,32.04
6/29/2023,Panama,206,14351.64
6/21/2023,Colombia,198,12601.12
6/15/2023,Canada,395,12108.16
6/30/2023,USA,196,10018.92
6/29/2023,Colombia,188,866.63
6/4/2023,Canada,294,18985.82
6/28/2023,Brazil,358,4934.04
6/28/2023,Colombia,304,18579.5
6/29/2023,Brazil,240,272.34
6/14/2023,Colombia,36,309.26
6/25/2023,Panama,250,3505.75
6/16/2023,Brazil,43,2778.11
6/12/2023,Panama,201,4565.79
6/6/2023,Colombia,171,2428.16
6/16/2023,USA,27,814.14
6/23/2023,Panama,156,1925.62
6/14/2023,Brazil,231,3134.13
6/8/2023,Canada,230,2860.04
6/14/2023,USA,26,1435.94
6/26/2023,Colombia,228,564.16
6/8/2023,Panama,304,1327.73
6/3/2023,Colombia,217,8271
6/24/2023,Panama,311,2264.91
6/7/2023,Panama,170,1133.46
6/19/2023,Panama,207,27.17
6/5/2023,Canada,145,2040.36
6/18/2023,Colombia,158,7347.53
6/10/2023,Canada,307,1332.11
6/16/2023,Canada,96,6097.18
6/1/2023,Colombia,334,4438.84
6/27/2023,USA,160,8371.51
6/11/2023,USA,91,1547.23
6/7/2023,Brazil,174,2825.8
6/3/2023,Canada,323,10576.14
6/6/2023,Brazil,45,235.99
6/28/2023,Colombia,88,108.45
6/21/2023,Colombia,205,3832.79
6/14/2023,Brazil,109,2684.73
6/21/2023,Panama,276,16711.71
6/4/2023,Panama,297,10681.58
6/21/2023,Canada,306,1503.07
6/23/2023,Panama,152,3448.6
6/15/2023,Brazil,147,4690.39
6/28/2023,Brazil,378,20748.61
6/12/2023,Canada,264,6028.66
6/13/2023,Canada,379,31503.96
6/26/2023,USA,101,4110.47
6/6/2023,Panama,249,5272.85
6/20/2023,Canada,296,4869.91
6/16/2023,Panama,339,5679.18
6/24/2023,Panama,336,4596.25
6/13/2023,USA,139,4713.15
6/11/2023,Panama,330,10905.49
6/7/2023,Panama,198,5049.37
6/15/2023,Brazil,215,11525.3
6/29/2023,USA,100,3917.33
6/8/2023,Panama,224,12244.02
6/17/2023,Colombia,241,427.41
6/16/2023,Canada,40,1292.51
6/21/2023,Canada,251,1994.96
6/29/2023,Panama,290,5912.77
6/26/2023,Colombia,395,8880.1
6/4/2023,USA,311,1703.9
6/25/2023,USA,54,3833.49
6/10/2023,Colombia,117,4527.28
6/19/2023,Brazil,28,719.13
6/14/2023,USA,223,19594.6
6/29/2023,USA,226,3146.54
6/10/2023,Brazil,13,42.47
6/24/2023,Panama,172,4135.98
6/15/2023,Brazil,149,8733.94
6/4/2023,USA,265,3499.61
6/11/2023,Panama,247,1690.4
6/22/2023,Canada,30,165.13
6/22/2023,Panama,311,13064.6
6/29/2023,Panama,24,591.96
6/28/2023,Canada,364,363.95
6/10/2023,USA,67,3272
6/17/2023,Canada,277,5689.22
6/15/2023,Panama,204,5962.79
6/6/2023,Panama,270,11825.86
6/3/2023,Canada,41,2994.71
6/14/2023,USA,253,3079.7
6/12/2023,Canada,54,977.35
6/28/2023,Canada,129,3101.86
6/10/2023,Panama,55,620.12
6/16/2023,USA,271,2413.82
6/25/2023,Colombia,331,476.28
6/6/2023,Canada,317,22033.62
6/9/2023,Colombia,41,714.02
6/17/2023,USA,60,3375.59
6/16/2023,Colombia,256,3730.89
6/18/2023,Colombia,374,14310.99
6/20/2023,Colombia,305,2732.91
6/11/2023,Canada,220,15825.56
6/9/2023,Canada,271,5967.95
6/26/2023,Canada,48,2237.04
6/24/2023,Panama,395,4346.72
6/10/2023,Canada,391,11812.17
6/1/2023,Canada,348,8689.44
6/11/2023,Colombia,341,3771.35
6/30/2023,Colombia,136,7139.75
6/1/2023,Canada,24,211.39
6/6/2023,Panama,97,3422.57
6/11/2023,Canada,294,4691.76
6/15/2023,Panama,184,683.17
6/11/2023,Brazil,179,9719.61
6/17/2023,Canada,224,6746.62
6/14/2023,Canada,132,4877.22
6/24/2023,Panama,37,168.83
6/10/2023,USA,316,2527.22
6/7/2023,USA,151,2935.54
6/8/2023,Colombia,149,1184.38
6/27/2023,USA,75,1144.41
6/25/2023,Panama,370,262.81
6/23/2023,Panama,121,9612.02
6/18/2023,Panama,194,9351.09
6/2/2023,Canada,350,7217.2
