Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
3/10/2023,USA,288,4283.13
3/10/2023,Panama,195,1120.84
3/20/2023,Colombia,24,1562.82
3/7/2023,Colombia,255,2889.14
3/1/2023,Brazil,271,9143.03
3/13/2023,Panama,387,26050.58
3/3/2023,Brazil,19,146
3/7/2023,Brazil,154,2590.08
3/20/2023,Colombia,383,2371.61
3/15/2023,Colombia,147,7233.09
3/20/2023,Panama,336,3486.55
3/24/2023,Panama,110,6047.09
3/23/2023,Brazil,252,16694.51
3/29/2023,USA,16,559.39
3/30/2023,Panama,42,123.18
3/16/2023,Panama,88,2683.54
3/10/2023,Canada,165,163.76
3/7/2023,Brazil,316,600.76
3/16/2023,Panama,345,8772.07
3/24/2023,USA,20,742.42
3/25/2023,Panama,272,7094.11
3/31/2023,Canada,115,1087.99
3/31/2023,Canada,157,4641.51
3/31/2023,USA,330,17351.25
3/19/2023,Canada,126,1407.25
3/7/2023,Canada,274,16504.33
3/18/2023,Colombia,102,3602.03
3/4/2023,Colombia,155,2808.95
3/7/2023,Panama,134,9536.57
3/25/2023,Colombia,124,7510.11
3/29/2023,USA,274,4895.28
3/13/2023,Colombia,50,497.47
3/12/2023,Panama,26,2069
3/26/2023,Panama,291,733.37
3/22/2023,Panama,280,9067.76
3/8/2023,Canada,181,11100.36
3/2/2023,Canada,367,7066.63
3/22/2023,Colombia,44,100.8
3/5/2023,Colombia,82,1545.61
3/11/2023,Panama,280,15265.62
3/7/2023,Colombia,88,4578.49
3/16/2023,Canada,174,1461.8
3/10/2023,Panama,143,6195.71
3/29/2023,Colombia,192,1983.85
3/28/2023,Colombia,160,4244.59
3/10/2023,Brazil,363,28323.59
3/15/2023,Colombia,142,8341.92
3/22/2023,USA,390,4582.05
3/10/2023,Canada,77,72.22
3/2/2023,Brazil,169,5675.67
3/27/2023,Panama,71,2087.77
3/16/2023,Colombia,113,2729.93
3/25/2023,Brazil,266,7279.43
3/24/2023,Colombia,370,29222.28
3/25/2023,USA,172,9779.8
3/12/2023,Canada,35,826
3/7/2023,Brazil,241,15042.21
3/12/2023,Colombia,205,5806.75
3/17/2023,USA,277,14650.91
3/21/2023,Panama,48,14.42
3/30/2023,Brazil,176,9730.34
3/23/2023,Canada,394,738.25
3/2/2023,Canada,29,723.76
3/13/2023,Brazil,108,332.1
3/31/2023,Brazil,304,2152.72
3/10/2023,Panama,28,143.32
3/31/2023,Colombia,384,9508.81
3/23/2023,USA,330,17316.56
3/16/2023,USA,386,4188.41
3/10/2023,Brazil,234,5816.65
3/29/2023,USA,96,3326.34
3/6/2023,Brazil,105,9074.97
3/31/2023,USA,179,1421.94
3/15/2023,USA,392,2095.49
3/15/2023,Panama,40,902.96
3/11/2023,Brazil,313,6176.36
3/4/2023,Brazil,398,8658.56
3/18/2023,Canada,380,9738.06
3/26/2023,Panama,134,5881.76
3/15/2023,Panama,85,2482.66
3/16/2023,Colombia,373,8791.58
3/28/2023,USA,107,6588.96
3/23/2023,Brazil,222,13934.95
3/3/2023,Panama,142,4783.07
3/10/2023,USA,77,2458.76
3/7/2023,Panama,52,2368.05
3/4/2023,USA,328,6517.1
3/6/2023,USA,11,269.19
3/27/2023,Colombia,241,10766.53
3/23/2023,Canada,301,6769.89
3/9/2023,Brazil,245,2548.26
3/17/2023,Colombia,184,80.8
3/11/2023,Brazil,267,5543.72
3/26/2023,USA,158,6937.47
3/2/2023,Brazil,362,8260.7
3/6/2023,Canada,120,1895.72
3/16/2023,Colombia,50,2161.74
3/1/2023,USA,378,7383.58
