Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
5/31/2023,Panama,185,3847.84
5/30/2023,USA,141,4519.07
5/16/2023,USA,389,9957.23
5/5/2023,Panama,302,6284.31
5/3/2023,USA,143,7761.07
5/7/2023,Colombia,391,8929.45
5/1/2023,Panama,77,1150.23
5/17/2023,USA,81,1994.93
5/2/2023,Brazil,126,1627.59
5/23/2023,Brazil,58,190.11
5/29/2023,Brazil,32,1390.3
5/25/2023,Canada,178,2536.86
5/14/2023,Panama,96,3079.06
5/2/2023,Panama,106,4267.93
5/29/2023,Brazil,304,2411.96
5/4/2023,Brazil,269,5077.37
5/1/2023,Canada,210,3875.49
5/21/2023,Brazil,311,15114.26
5/25/2023,Colombia,122,11205.06
5/26/2023,Colombia,261,9658.08
5/29/2023,Canada,232,4571.47
5/23/2023,Canada,265,3791.63
5/27/2023,USA,296,3369.86
5/25/2023,Brazil,13,831.23
5/1/2023,Panama,165,3369.6
5/9/2023,Panama,112,3617.38
5/7/2023,Panama,177,7435.71
5/10/2023,USA,19,527.37
5/10/2023,Panama,398,15846.26
5/9/2023,Canada,150,3298.47
5/24/2023,Panama,264,3922.54
5/3/2023,Colombia,241,10108.97
5/2/2023,Canada,54,2440.39
5/22/2023,Colombia,54,1042.87
5/20/2023,Brazil,171,5253.3
5/13/2023,Canada,194,6008.46
5/11/2023,Brazil,136,1836.44
5/18/2023,USA,64,520.96
5/3/2023,Canada,311,16971.61
5/26/2023,Brazil,122,547.09
5/10/2023,Canada,69,6028.92
5/29/2023,Canada,327,3820.19
5/7/2023,Colombia,24,2246.25
5/15/2023,Canada,11,659.96
5/28/2023,USA,67,1107.72
5/15/2023,Panama,393,11034.63
5/22/2023,Colombia,69,4042.01
5/9/2023,Canada,106,1739.02
5/15/2023,Brazil,169,4603.81
5/1/2023,Canada,232,16563.02
5/16/2023,Brazil,30,935.2
5/8/2023,Panama,263,1700.61
5/22/2023,Brazil,196,1197.21
5/18/2023,Colombia,32,60.07
5/27/2023,USA,269,4961.2
5/23/2023,Brazil,100,7007.37
5/20/2023,USA,360,4103.64
5/5/2023,Panama,231,5474
5/27/2023,Brazil,359,21059.02
5/23/2023,Canada,204,7948.37
5/28/2023,Brazil,210,3393.4
5/30/2023,Brazil,311,5271.32
5/29/2023,USA,98,331.4
5/18/2023,Colombia,225,6297.97
5/13/2023,Canada,164,12024.86
5/6/2023,Brazil,153,5088.63
5/26/2023,Canada,302,575.28
5/1/2023,Panama,301,10219.37
5/14/2023,Colombia,295,7478.08
5/11/2023,Canada,196,2353.13
5/23/2023,Colombia,56,2699.97
5/18/2023,USA,87,1601.45
5/28/2023,Brazil,338,1340.83
5/26/2023,Panama,157,2399.05
5/24/2023,USA,369,7677.37
5/13/2023,Brazil,72,295.15
5/17/2023,Brazil,146,294.04
5/17/2023,Colombia,26,0.82
5/20/2023,USA,310,11275.7
5/29/2023,Colombia,268,10549.29
5/26/2023,Colombia,286,14663.89
5/14/2023,Colombia,385,25339.91
5/15/2023,Brazil,241,902.1
5/15/2023,Panama,200,1364.42
5/30/2023,Canada,86,989.69
5/20/2023,Canada,288,6245.89
5/4/2023,USA,37,1194.24
5/6/2023,Brazil,375,10753.82
5/12/2023,Canada,181,6648.04
5/6/2023,Colombia,257,19023.35
5/24/2023,Panama,246,3706.16
5/22/2023,Colombia,388,19362.13
5/22/2023,Colombia,84,662.71
5/27/2023,Brazil,68,3241.52
5/12/2023,USA,63,699.56
5/1/2023,Canada,63,4316.92
5/4/2023,Panama,97,1298.34
5/12/2023,Panama,293,5338.03
5/28/2023,Colombia,340,24982.52
5/30/2023,Panama,288,9051.12
5/12/2023,Colombia,357,4588.21
5/15/2023,Canada,182,11231.33
5/5/2023,Brazil,53,832.29
5/12/2023,Brazil,59,488.37
5/11/2023,Colombia,58,2261.29
5/27/2023,Colombia,133,4179.28
5/2/2023,Brazil,123,1208.99
5/16/2023,Colombia,238,753.88
5/6/2023,Canada,327,17115.44
5/19/2023,Panama,269,2379.53
5/28/2023,Canada,318,3157.51
5/30/2023,Panama,358,20162.95
5/2/2023,Canada,340,31491.91
5/4/2023,Brazil,210,12135.73
5/29/2023,USA,55,32.69
5/13/2023,Brazil,199,28.19
5/14/2023,USA,389,16825.96
5/24/2023,Colombia,167,6182.57
5/10/2023,Panama,374,3151
5/20/2023,USA,374,5943.05
5/27/2023,Panama,255,6838.31
5/12/2023,Brazil,177,2333.45
5/19/2023,Colombia,334,6417.44
5/2/2023,Canada,394,18730.81
5/14/2023,USA,153,2779.3
5/8/2023,USA,12,64.27
5/23/2023,Brazil,58,1008.45
5/9/2023,Brazil,399,3707.09
5/13/2023,Panama,220,4650.48
5/7/2023,Colombia,221,7090.82
5/15/2023,USA,42,1944.12
5/25/2023,Colombia,327,4951.1
5/14/2023,Canada,288,269.48
5/31/2023,Canada,71,2453.65
5/20/2023,Colombia,259,17271.66
5/20/2023,Canada,362,16453.67
5/8/2023,Colombia,347,2664.52
5/26/2023,Canada,107,5718.51
5/2/2023,Panama,338,3658.02
5/4/2023,USA,219,6369.74
5/10/2023,Panama,218,9250.2
5/27/2023,Canada,138,4721.12
5/19/2023,Brazil,33,1350.57
5/29/2023,Brazil,145,2849.3
5/14/2023,Brazil,387,5680.8
5/21/2023,Canada,129,3782.33
5/20/2023,USA,39,241.42
5/9/2023,Canada,389,20781.27
5/29/2023,Colombia,348,4404.73
5/28/2023,Brazil,278,14576.77
5/2/2023,Panama,71,4566.24
5/4/2023,USA,187,2222.83
5/11/2023,Brazil,380,21980.1
5/15/2023,Canada,182,1916.99
5/31/2023,USA,26,285.42
5/19/2023,USA,179,12566.89
5/4/2023,Brazil,108,1196.74
5/28/2023,Canada,267,6949.69
5/30/2023,Panama,307,10046.09
5/2/2023,Panama,86,5446.49
5/31/2023,USA,287,638.13
5/4/2023,Colombia,390,21559.08
5/18/2023,Colombia,108,4774.98
5/15/2023,Brazil,29,1259.64
5/8/2023,Canada,302,20386.38
5/7/2023,USA,390,21405.19
5/18/2023,Brazil,355,3040.47
5/11/2023,Panama,398,6336.43
5/9/2023,USA,243,10003.58
5/17/2023,Panama,225,19543.44
5/5/2023,Canada,77,3680.82
5/2/2023,Canada,321,472.9
5/6/2023,Canada,30,945.88
5/15/2023,USA,234,4714.39
5/2/2023,USA,89,2375.19
5/17/2023,Canada,284,3332.5
5/23/2023,Canada,32,998.04
5/2/2023,Colombia,210,16467.55
5/23/2023,Colombia,356,7749.52
5/15/2023,Panama,68,2167.43
5/29/2023,USA,394,2913.3
5/5/2023,Panama,171,8869.69
5/23/2023,USA,286,5135.51
5/1/2023,Brazil,197,2262.68
5/4/2023,Canada,298,15742.93
5/23/2023,Panama,320,14029.03
5/23/2023,USA,222,1495.06
5/15/2023,Colombia,52,3336.44
5/31/2023,Brazil,109,5011.32
5/30/2023,Canada,141,12395.94
5/19/2023,Colombia,93,2056.24
5/8/2023,Brazil,383,195.77
5/30/2023,Panama,215,398.66
5/2/2023,Brazil,208,1206.53
5/18/2023,Colombia,170,2476.55
5/7/2023,Colombia,254,11156.92
5/5/2023,USA,220,9205.97
5/26/2023,Brazil,391,18260.75
5/30/2023,Canada,62,675.42
5/22/2023,Colombia,333,14044.48
5/29/2023,Colombia,100,992.42
5/2/2023,Canada,398,5742.04
5/30/2023,Panama,162,8642.71
5/28/2023,USA,295,14270.56
5/19/2023,USA,374,28476.88
5/14/2023,Brazil,277,8065.33
5/4/2023,Panama,191,6905.35
5/22/2023,Colombia,187,7245.68
5/19/2023,Panama,225,9651.4
5/13/2023,Brazil,305,9391.92
5/19/2023,Colombia,214,8298.2
