Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
11/2/2023,Brazil,326,296.42
11/27/2023,Panama,371,5833.69
11/4/2023,USA,115,3795.53
11/5/2023,Brazil,214,2259.2
11/30/2023,Colombia,172,1199.77
11/1/2023,Canada,319,4917.23
11/18/2023,Brazil,221,20008.47
11/29/2023,Panama,27,2171.56
11/28/2023,USA,119,5646.11
11/12/2023,Colombia,180,536.41
11/23/2023,USA,343,6967.17
11/15/2023,Panama,140,1835.96
11/4/2023,Colombia,259,764.66
11/16/2023,USA,22,1319.77
11/12/2023,USA,42,2699.25
11/3/2023,Canada,85,446.78
11/24/2023,Brazil,269,7473.36
11/30/2023,Canada,89,1209.9
11/20/2023,Brazil,217,10929.25
11/6/2023,USA,238,15.88
11/8/2023,Colombia,70,1330.86
11/5/2023,Panama,39,3051.87
11/27/2023,Colombia,213,3783.44
11/9/2023,USA,302,12122.53
11/7/2023,USA,212,3150.67
11/1/2023,Brazil,86,2542.74
11/22/2023,USA,117,1515.1
11/27/2023,Canada,273,5760.85
11/26/2023,Brazil,167,364.72
11/26/2023,Canada,90,998.02
11/23/2023,Panama,186,3520.24
11/15/2023,Brazil,385,10245.42
11/17/2023,Panama,339,12155.31
11/7/2023,Brazil,249,4877.37
11/5/2023,USA,127,449.15
11/28/2023,Brazil,189,6296.82
11/22/2023,Canada,367,21024.6
11/15/2023,USA,343,19987.34
11/10/2023,USA,28,1348.92
11/29/2023,Colombia,113,145.62
11/13/2023,Brazil,46,1072.96
11/7/2023,USA,35,2488.69
11/15/2023,Colombia,223,6222.4
11/24/2023,Brazil,245,917.11
11/10/2023,Canada,241,15572.73
11/7/2023,Brazil,315,15413.95
11/14/2023,Brazil,111,10752.24
11/2/2023,Colombia,342,22652.01
11/2/2023,Colombia,316,3486.2
11/13/2023,Canada,162,13191.02
11/22/2023,Colombia,131,7474.37
11/13/2023,Colombia,207,7628.08
11/17/2023,Panama,292,10311.66
11/21/2023,USA,164,11635.04
11/29/2023,USA,314,6569.8
11/2/2023,USA,132,7796.76
11/30/2023,Panama,395,19714.18
11/19/2023,Colombia,137,4595.88
11/29/2023,Colombia,264,2560.75
11/12/2023,USA,192,3891.98
11/22/2023,Brazil,54,1070.1
11/11/2023,Colombia,60,1053.73
11/17/2023,USA,202,794.23
11/9/2023,Panama,246,3328.71
11/25/2023,Brazil,93,5837.61
11/12/2023,Colombia,261,586.66
11/27/2023,USA,281,13315.01
11/23/2023,Colombia,290,15850.55
11/10/2023,USA,63,3103.48
11/2/2023,USA,88,1232.15
11/30/2023,Panama,63,1054.69
11/26/2023,Colombia,156,10786.16
11/17/2023,Brazil,45,178.89
11/28/2023,Canada,325,5067.29
11/4/2023,Canada,175,4061.37
11/30/2023,Colombia,144,135.06
11/2/2023,Brazil,56,473.73
11/17/2023,Canada,164,5041.47
11/8/2023,Canada,198,12731.98
11/18/2023,Brazil,379,7234.67
11/13/2023,Brazil,301,1382.48
11/20/2023,Brazil,206,1915.61
11/2/2023,USA,247,3694.49
11/2/2023,Canada,299,5419.81
11/22/2023,USA,194,2139.67
11/3/2023,Panama,311,3476.36
11/8/2023,USA,251,2683.08
11/29/2023,Colombia,73,2473.94
11/28/2023,Panama,330,7631.93
11/19/2023,Canada,27,1717.36
11/11/2023,Canada,152,3410.9
11/9/2023,Brazil,304,3996.88
11/2/2023,USA,294,2755.81
