Report generated on 01-01-2024,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
10/31/2023,Canada,249,644.77
10/29/2023,Canada,28,714.64
10/2/2023,Colombia,282,12295.28
10/15/2023,Colombia,360,30258.01
10/9/2023,Colombia,96,4218.59
10/30/2023,Panama,71,4682.24
10/5/2023,Colombia,231,518.95
10/17/2023,Canada,162,2777.01
10/17/2023,Colombia,376,11897.06
10/3/2023,Canada,75,128.65
10/27/2023,Brazil,274,17877.98
10/18/2023,Brazil,132,7004.76
10/27/2023,Brazil,154,6767.74
10/27/2023,Colombia,281,2382.5
10/15/2023,USA,316,6601.57
10/18/2023,Panama,16,27.65
10/20/2023,Panama,76,1571.44
10/29/2023,USA,134,9988.64
10/22/2023,Colombia,284,19410.38
10/22/2023,USA,59,3004.29
10/15/2023,Brazil,148,5254.78
10/21/2023,Brazil,214,1921.77
10/20/2023,USA,194,9803.31
10/8/2023,Brazil,284,5516.8
10/19/2023,Canada,98,4835.12
10/20/2023,Canada,311,8102.63
10/25/2023,Canada,353,2831.35
10/17/2023,Brazil,39,1347.13
10/12/2023,Panama,209,2633.82
10/11/2023,Brazil,289,11693.39
10/11/2023,Panama,86,4694.8
10/29/2023,Canada,91,1502.19
10/23/2023,Colombia,387,35267.41
10/23/2023,Panama,369,2186.12
10/27/2023,USA,55,1096.22
10/5/2023,Panama,26,688.02
10/24/2023,USA,284,10938.19
10/6/2023,Brazil,292,622.61
10/19/2023,Colombia,42,288.34
10/13/2023,Canada,314,6385.75
10/19/2023,Colombia,86,1439.44
10/3/2023,Canada,245,732.81
10/7/2023,USA,126,5264.07
10/11/2023,Panama,374,11398.43
10/31/2023,Colombia,308,7671.69
10/1/2023,Brazil,257,5359.38
10/10/2023,USA,114,2458.58
10/10/2023,Brazil,281,431.75
10/3/2023,Brazil,268,12400.87
10/27/2023,Colombia,56,4199.47
10/7/2023,Brazil,277,7558.39
10/31/2023,Brazil,393,19712.86
10/2/2023,Panama,120,9949.68
10/8/2023,USA,207,8965.25
10/23/2023,Canada,129,5625.18
10/9/2023,Panama,119,3707.66
10/10/2023,USA,340,9685.76
10/18/2023,Colombia,386,5868.1
10/29/2023,Canada,232,10933.13
10/17/2023,Colombia,119,5498.54
10/1/2023,USA,328,11497.94
10/5/2023,USA,209,1138.65
10/12/2023,USA,250,3417.63
10/22/2023,USA,308,13765.93
10/29/2023,Brazil,285,4979.08
10/23/2023,USA,338,2449.92
10/30/2023,Canada,90,3211
10/30/2023,USA,195,8972.92
10/20/2023,Brazil,394,17286.24
10/21/2023,Canada,223,16135.65
10/31/2023,Colombia,224,11198.79
10/21/2023,USA,142,5651.88
10/16/2023,USA,94,2495.49
10/12/2023,Canada,158,2380.04
10/27/2023,Canada,28,97.02
10/3/2023,Canada,143,1257.88
10/23/2023,Colombia,223,1457.42
10/15/2023,Brazil,179,10682.86
10/26/2023,Panama,348,4425.64
10/24/2023,USA,38,1403.4
10/19/2023,USA,348,13681.76
10/27/2023,Colombia,159,6013.54
10/5/2023,Canada,15,178
10/7/2023,Panama,289,5053.39
10/23/2023,Colombia,248,3110.39
10/21/2023,Brazil,126,3417.01
10/5/2023,Brazil,353,20121.14
10/18/2023,Canada,33,437.81
10/20/2023,USA,186,7797.33
10/25/2023,Canada,307,757.81
10/18/2023,Brazil,280,4209.54
10/15/2023,Panama,126,5939.16
10/14/2023,USA,34,1011.95
10/13/2023,Colombia,106,1509.46
10/2/2023,USA,351,11016.33
10/30/2023,USA,171,7088.12
10/26/2023,Panama,140,1199.27
10/9/2023,Canada,338,7046.79
10/12/2023,Brazil,149,3488.58
10/27/2023,Brazil,114,2414.42
10/21/2023,USA,209,9115.9
10/14/2023,USA,209,476.63
10/21/2023,Panama,150,2235.82
10/7/2023,Panama,123,4781.85
10/23/2023,Canada,186,405.46
10/27/2023,Colombia,75,1503.65
10/27/2023,Brazil,36,1123.52
10/17/2023,Colombia,45,1377.26
10/28/2023,USA,148,916.12
10/26/2023,Brazil,213,5992.63
10/15/2023,Colombia,113,3414.92
10/14/2023,Panama,121,1052.99
10/3/2023,USA,203,11835.02
10/11/2023,Canada,62,436.76
10/25/2023,Canada,166,4601.31
10/25/2023,USA,94,1991.38
10/3/2023,Panama,232,9725.1
10/7/2023,Brazil,58,3978.25
10/18/2023,Brazil,102,3065.88
10/3/2023,USA,181,1651.78
10/11/2023,Colombia,285,3514.7
10/16/2023,Colombia,249,10510.79
10/7/2023,Colombia,323,7672.26
10/20/2023,USA,135,4599.23
10/20/2023,Canada,389,12113.46
10/30/2023,Panama,208,12681.48
10/15/2023,Canada,66,352.52
10/6/2023,Brazil,107,7125.65
10/15/2023,USA,36,2209.49
10/23/2023,Colombia,17,31.46
10/16/2023,Brazil,31,668.85
10/22/2023,Panama,111,1607.66
10/7/2023,Canada,317,4795.43
10/16/2023,Panama,396,6493.36
10/15/2023,Brazil,172,7236.17
10/8/2023,USA,124,8505.09
10/22/2023,Canada,58,226.97
10/16/2023,Panama,384,25028.45
10/2/2023,USA,241,2834.87
10/18/2023,Colombia,66,2830.4
10/30/2023,Colombia,248,14706.54
10/6/2023,Colombia,329,2598.14
10/16/2023,Brazil,238,2131.86
10/2/2023,Brazil,77,3484.07
10/5/2023,Colombia,384,4498.08
10/7/2023,Panama,46,1356.95
10/8/2023,Brazil,203,5252.73
10/19/2023,Colombia,314,4745.38
10/1/2023,Colombia,365,1995.76
10/1/2023,USA,374,11518.1
10/25/2023,Colombia,283,2917.87
10/21/2023,Canada,35,398.67
10/12/2023,Brazil,247,9785.7
